question,answer,label
What is the purpose of the Examination Regulations 2024 at Sukkur IBA University?,They provide standardized procedures for conducting exams for bachelor and associate degree programs starting Summer 2024.,examination policy
What is the maximum allowable absence before a student receives an F grade?,More than 25% absences result in an automatic F grade.,examination policy
Can students withdraw from a course if they have excessive absences?,"No, withdrawal is not allowed after 25% absences.",examination policy
What grading system is used?,"A GPA system from 0.00 to 4.00, based on percentage brackets.",examination policy
What is the minimum CGPA required for graduation?,A CGPA of at least 2.2.,examination policy
How many probation periods are allowed?,Two probations are allowed if CGPA falls below 2.2.,examination policy
What is the summer program?,An 8-week period for completing deficiency courses after the spring semester.,examination policy
Can students improve their grades?,"Yes, only C+, C, and C- grades may be improved under certain conditions.",examination policy
Who is responsible for uploading marks?,Course teachers upload marks; HoDs certify them in CMS.,examination policy
What happens if marks are incorrectly uploaded?,"Corrections are supervised and approved by HoD, Dean, and PVC.",examination policy
What are the examination types covered?,"Midterm, final term, practical, project, and supplementary exams.",examination policy
Are mobile phones allowed in exam halls?,"No, use of mobiles, smart devices, or programmable calculators is strictly prohibited.",examination policy
What is the penalty for unfair means in exams?,"Expulsion, debarment for up to two years, and cancellation of results.",examination policy
How are examiners appointed?,"By the Vice Chancellor, based on recommendations from boards of faculties.",examination policy
Can a student appeal a punishment for misconduct?,"Yes, except in cases of result cancellation.",examination policy
What is ERC?,"Examination Review Committee, which reviews assessment quality.",examination policy
How are answer scripts assessed and stored?,Examiners mark them; scripts are stored securely by the Controller of Exams.,examination policy
What is the maximum study duration allowed?,"N+2 years, where N is the normal duration of the program.",examination policy
Are merit positions awarded?,"Yes, to top 3 students with CGPA 3.5 without failures.",examination policy
What is required to issue a final transcript?,"Clearance form, fee payment, and name verification.",examination policy
What are the goals of ORIC?,"To motivate high-quality research, provide infrastructure, identify funding sources, and connect with industry.",Research_Policy_2023
"What are the criteria to join the research expert panel?, Faculty must have a PhD and at least five ISI-indexed publications in the last five years., Research_Policy_2023",,Research_Policy_2023
What is considered a valid research project?,"Projects with clear objectives, data analysis, and outcomes funded internally or externally.",Research_Policy_2023
What types of projects are not considered research?,"Surveys, website development, and data banks not yielding research outcomes.",Research_Policy_2023
Who can initiate a research project? ,Any member of Sukkur IBA University can initiate a project as a PI.,Research_Policy_2023
What is the publication requirement for PhD faculty?,At least one research article per year in an HEC-recognized journal.,Research_Policy_2023
What is the cash reward for research publication? ,"Up to PKR 500,000 per academic year based on journal category and impact.",Research_Policy_2023
What determines cash reward eligibility for co-authors?,"Authors up to 5th position are eligible, with percentage splits based on position.",Research_Policy_2023
Are book chapters eligible for reward? ,"Yes, PKR 50,000 for book chapters under SENSE publishers; authored books get PKR 150,000.",Research_Policy_2023
What is the recent notification regarding faculty/staff enrolled in MS/PhD at Sukkur IBA?,All scholars (faculty/staff) enrolled in MS/PhD programs at Sukkur IBA may convert their study leave into an NOC to continue their education alongside their job.,Faculty_Staff_MS_PhD
Can study leave be converted into an NOC at Sukkur IBA?,"Yes, study leave may be converted into an NOC for continuing higher education with employment.",Faculty_Staff_MS_PhD
Who approved the policy change for faculty/staff study leave?,The policy was approved by the Syndicate in the 18th meeting and endorsed by the Vice Chancellor.,Faculty_Staff_MS_PhD
When was the Syndicate meeting held that approved the policy?,"The Syndicate meeting was held on December 08-09 & 16, 2023.",Faculty_Staff_MS_PhD
Will the study leave policy be revised in the future?,"Yes, it will be revised and updated and presented to the Syndicate for endorsement.",Faculty_Staff_MS_PhD
Who is responsible for communicating the policy?,The Registrar of Sukkur IBA University is responsible for communicating the policy.,Faculty_Staff_MS_PhD
What is the purpose of converting study leave into NOC?,To allow faculty/staff to continue their higher studies while working at Sukkur IBA University.,Faculty_Staff_MS_PhD
Is this policy applicable to all MS/PhD enrolled faculty/staff?,"Yes, it applies to all scholars enrolled in MS/PhD at Sukkur IBA University.",Faculty_Staff_MS_PhD
What are the official contact details of Sukkur IBA University?,"Email: info@iba-suk.edu.pk, Website: http://www.iba-suk.edu.pk",Faculty_Staff_MS_PhD
Can SIBAU faculty pursue a PhD at Sukkur IBA while working?,"Yes, SIBAU faculty members may be granted permission to pursue their PhD at Sukkur IBA University while continuing their job duties.",Faculty member_PhD Study Policy
Is simultaneous teaching and PhD study allowed for SIBAU faculty?,"Yes, faculty members can simultaneously fulfill their teaching responsibilities while pursuing a PhD.",Faculty member_PhD Study Policy
Do faculty members need to resign or go on leave to pursue a PhD?,"No, faculty members can pursue a PhD without resigning or taking study leave, as long as they continue working.",Faculty member_PhD Study Policy
Is there any restriction on working while studying for a PhD at Sukkur IBA?,"No, faculty are allowed to study and work simultaneously under this policy.",Faculty member_PhD Study Policy
Are SIBAU faculty exempted from admission criteria for PhD?,"No, faculty members must meet the same merit-based admission criteria as all other applicants.",Faculty member_PhD Study Policy
Do SIBAU faculty receive any preference during the PhD admission process?,"No, admissions are strictly merit-based with no special preference or relaxation for SIBAU faculty.",Faculty member_PhD Study Policy
What criteria must SIBAU faculty meet to be admitted to a PhD program?,They must fulfill all admission requirements set by HEC and Sukkur IBA University.,Faculty member_PhD Study Policy
Is admission automatic for SIBAU faculty into PhD programs?,"No, all faculty must go through the competitive admission process.",Faculty member_PhD Study Policy
Is an NOC required for SIBAU faculty to apply for PhD?,"Yes, a No Objection Certificate (NOC) from the HR department is mandatory.",Faculty member_PhD Study Policy
Who recommends the issuance of NOC for PhD admission?,"The Head of Department recommends the NOC, which is then approved by the Vice Chancellor.",Faculty member_PhD Study Policy
Can faculty apply for PhD admission without an NOC?,"No, a valid NOC is a compulsory part of the PhD application process.",Faculty member_PhD Study Policy
What role does the Vice Chancellor play in PhD admissions for faculty?,The Vice Chancellor provides final approval for the issuance of the NOC.,Faculty member_PhD Study Policy
Are there any course waivers for SIBAU faculty enrolled in PhD?,"Yes, they may be granted a waiver of two courses during the course work phase.",Faculty member_PhD Study Policy
How many courses can be waived during the research phase of PhD?,Only one course may be waived during the research phase.,Faculty member_PhD Study Policy
Are course waivers automatic for SIBAU faculty in PhD programs?,"Yes, waivers are automatic if faculty member is granted NOC for PhD Studies.",Faculty member_PhD Study Policy
Is an additional NOC needed to get course waivers?,"Yes, a separate NOC is needed specifically for availing course waivers.",Faculty member_PhD Study Policy
What is the minimum service requirement to receive an NOC?,Faculty must have completed a minimum of three years of continuous service at SIBAU.,Faculty member_PhD Study Policy
Who determines departmental needs before issuing an NOC?,The relevant Head of Department evaluates and confirms departmental needs.,Faculty member_PhD Study Policy
Can newly hired faculty apply for an NOC for PhD studies?,"No, only faculty with at least three years of continuous service are eligible.",Faculty member_PhD Study Policy
Does the department have to approve the PhD request?,"Yes, departmental needs and recommendations are essential before NOC issuance.",Faculty member_PhD Study Policy
Is there a service bond after completing the PhD?,"Yes, faculty must sign a bond to serve SIBAU for three years after completing their PhD.",Faculty member_PhD Study Policy
What happens if a faculty member breaks the PhD bond?,They must repay the full PhD fee incurred or waived plus 25% of the gross salary for the unserved period.,Faculty member_PhD Study Policy
